,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,week,country
127,128,spotify:track:2A1aS3mwuGuX2yk1bgxOvA,"BL3SS, CamrinWatsin, bbyclose",Kisses (feat. bbyclose),Atlantic Records UK,118,-1,14,75793,1,Denmark
128,129,spotify:track:6Pgkp4qUoTmJIPn7ReaGxL,"Avicii, Sandro Cavazza",Without You (feat. Sandro Cavazza),Universal Music AB,14,-1,86,75506,1,Denmark
129,130,spotify:track:2zUjOppXfaT81EFetWuNG7,ozzy,Alt Jeg Ved,Universal Music A/S,118,174,6,74740,1,Denmark
130,131,spotify:track:7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,Another Love,ITNO/Columbia,24,-1,170,74110,1,Denmark
131,132,spotify:track:0ofHAoxe9vBkTCp2UQIavz,Fleetwood Mac,Dreams - 2004 Remaster,Rhino/Warner Records,63,142,32,73720,1,Denmark
132,133,spotify:track:24iwVwLUrHV2Y1Bmfyr5sq,Kundo,Energien,No3,81,165,23,73693,1,Denmark
133,134,spotify:track:1hzblUB7PFLOdm4YKnkoVL,"MAS, Noah Carter",17. Januar,Universal Music A/S,77,196,4,73671,1,Denmark
134,135,spotify:track:789CxjEOtO76BVD1A9yJQH,"Rihanna, Mikky Ekko",Stay,Def Jam Recordings,103,-1,23,73622,1,Denmark
135,136,spotify:track:09N9LGyKqWlLViq2bQjFxR,"Artigeardit, Lamin",Vågen (Artigeardit X Lamin),Universal Music A/S,8,149,125,73606,1,Denmark
136,137,spotify:track:22skzmqfdWrjJylampe0kt,"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",Can't Hold Us (feat. Ray Dalton),Macklemore,82,184,124,73592,1,Denmark
137,138,spotify:track:6e7KGsngU13kguy5hTvSxe,Gilli,Kender Ik' I Morgen,Universal Music A/S,1,116,151,73376,1,Denmark
138,139,spotify:track:46IZ0fSY2mpAiktS3KOqds,Adele,Easy On Me,Columbia,1,-1,91,73303,1,Denmark
139,140,spotify:track:51eSHglvG1RJXtL3qI5trr,Benson Boone,Slow It Down,"Night Street Records, Inc./Warner Records Inc.",46,-1,35,72922,1,Denmark
140,141,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,SZA,Kill Bill,Top Dawg Entertainment/RCA Records,4,-1,52,72658,1,Denmark
141,142,spotify:track:1JSTJqkT5qHq8MDJnJbRE1,The Police,Every Breath You Take,Polydor Records,122,177,8,72575,1,Denmark
142,143,spotify:track:5Y35SjAfXjjG0sFQ3KOxmm,SZA,Nobody Gets Me,Top Dawg Entertainment/RCA Records,66,-1,17,72063,1,Denmark
